date,store_id,product_id,item_name,category,region,inventory_level,units_sold,units_sold_7d,units_ordered,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,profit,w_rate,net_tax
2024-01-01,STORE_001,0,-0.08,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,2665.0,100.0,Normal,0,2798.25,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,-0.49,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,10078.0,100.0,Normal,0,10581.9,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,-0.5,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,2560.0,100.0,Normal,0,2688.0,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,-0.61,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,14899.0,100.0,Normal,0,15643.95,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,-22.53,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,4011891.0,100.0,Normal,0,4212485.55,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,-22.99,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,3990019.0,100.0,Normal,0,4189519.95,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,0.01,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,3331.0,100.0,Normal,0,3497.55,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,0.11,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,5751.0,100.0,Normal,0,6038.55,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,0.46,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,21872.0,100.0,Normal,0,22965.6,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,0.8,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,15264.0,100.0,Normal,0,16027.2,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,11.8,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,2651320.0,100.0,Normal,0,2783886.0,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,11.91,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,2657071.0,100.0,Normal,0,2789924.5500000003,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,17.35,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,2558251.0,100.0,Normal,0,2686163.5500000003,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,18.15,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,2573515.0,100.0,Normal,0,2702190.75,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,19.96,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,2893069.0,100.0,Normal,0,3037722.45,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,2.37,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,14456.0,100.0,Normal,0,15178.8,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,20.57,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,2878170.0,100.0,Normal,0,3022078.5,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,28.13,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,4900855.0,100.0,Normal,0,5145897.75,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,30.18,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,2477451.0,100.0,Normal,0,2601323.5500000003,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,30.5,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,4915311.0,100.0,Normal,0,5161076.55,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,30.67,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,2467373.0,100.0,Normal,0,2590741.65,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,32.91,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,3590302.0,100.0,Normal,0,3769817.1,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0,33.41,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,3587742.0,100.0,Normal,0,3767129.1,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0.00,-0.54,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,9655.0,100.0,Normal,0,10137.75,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0.00,8.84,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,3603743.0,100.0,Normal,0,3783930.15,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,0.00,9.38,Grocery,REGION_001,0.0,0.0,0.0,0.0,0.0,3594088.0,100.0,Normal,0,3773792.4,Winter,0.0,0.0,0.0
2024-01-01,STORE_001,1006,GELLETE PRESTO 5S R/SET,Grocery,REGION_001,19.0,61.57,431.0,474.0,431.0,51.291818181818186,4.757093989826492,Normal,0,53.8564090909091,Winter,1051.64,48.85181818181818,0.0
2024-01-01,STORE_001,1006.0,GELLETE PRESTO 5S R/SET,Grocery,REGION_001,91.0,8.14,57.0,63.0,57.0,51.3,4.756335282651068,Normal,0,53.865,Winter,139.08,48.86,0.0
2024-01-01,STORE_001,1009,LASER R/BLADE STAINLESS,Grocery,REGION_001,63.0,13.86,97.0,107.0,97.0,3.97,4.785894206549128,Normal,0,4.168500000000001,Winter,18.43,3.78,0.0
2024-01-01,STORE_001,1009.0,LASER R/BLADE STAINLESS,Grocery,REGION_001,0.0,9.0,63.0,69.0,63.0,3.97,4.785894206549128,Normal,0,4.168500000000001,Winter,11.97,3.78,0.0
2024-01-01,STORE_001,1017,GILLETTE MACH 3 TURBO 8PACK,Grocery,REGION_001,2.0,19.14,134.0,147.0,134.0,700.74,4.762108628021807,Normal,0,735.777,Winter,4471.58,667.37,0.0
2024-01-01,STORE_001,1017.0,GILLETTE MACH 3 TURBO 8PACK,Grocery,REGION_001,5.0,2.86,20.0,22.0,20.0,700.74,4.762108628021807,Normal,0,735.777,Winter,667.4,667.37,0.0
2024-01-01,STORE_001,1018,GILLETE VECTOR+ 4PACK,Grocery,REGION_001,111.0,62.71,439.0,483.0,439.0,71.987,4.764749190826112,Normal,0,75.58635,Winter,1505.77,68.557,0.0
2024-01-01,STORE_001,1018.0,GILLETE VECTOR+ 4PACK,Grocery,REGION_001,90.0,5.57,39.0,43.0,39.0,71.99,4.764550632032217,Normal,0,75.5895,Winter,133.77,68.56,0.0
2024-01-01,STORE_001,1020,GILLETTE VICTOR+  R/SET,Grocery,REGION_001,28.0,10.14,71.0,78.0,71.0,43.39571428571429,4.766764328274671,Normal,0,45.5655,Winter,146.69,41.32714285714286,0.0
2024-01-01,STORE_001,1021,"GILLETTE MACH3 SENSITIVE, 4N",Grocery,REGION_001,32.0,15.0,105.0,116.0,105.0,371.9,4.762032804517339,Normal,0,390.495,Winter,1859.55,354.19,0.0
2024-01-01,STORE_001,1021.0,"GILLETTE MACH3 SENSITIVE, 4N",Grocery,REGION_001,47.0,0.14,1.0,1.0,1.0,371.9,4.762032804517339,Normal,0,390.495,Winter,17.71,354.19,0.0
2024-01-01,STORE_001,1022,GILLETTE 7 O CLOCK P-II R/BLADE 5,Grocery,REGION_001,41.0,22.86,160.0,176.0,160.0,75.57,4.76379515680825,Normal,0,79.3485,Winter,576.0,71.97,0.0
2024-01-01,STORE_001,1024,GILLETTE 7 O CLOCK PLATINUM R/BLADE,Grocery,REGION_001,186.0,100.43,703.0,773.0,703.0,25.94,4.780262143407872,Normal,0,27.237,Winter,871.72,24.7,0.0
2024-01-01,STORE_001,1024.0,GILLETTE 7 O CLOCK PLATINUM R/BLADE,Grocery,REGION_001,180.0,2.86,20.0,22.0,20.0,25.94,4.780262143407872,Normal,0,27.237,Winter,24.8,24.7,0.0
2024-01-01,STORE_001,1026,GILLETTE WILMAN II PREMIUM,Grocery,REGION_001,27.0,23.86,167.0,184.0,167.0,94.58,4.757876929583422,Normal,0,99.309,Winter,751.5,90.08,0.0
2024-01-01,STORE_001,1026.0,GILLETTE WILMAN II PREMIUM,Grocery,REGION_001,90.0,4.0,28.0,31.0,28.0,94.58,4.757876929583422,Normal,0,99.309,Winter,126.0,90.08,0.0
2024-01-01,STORE_001,1029,GILLETTE FUSION5 CART 4S,Grocery,REGION_001,8.0,4.0,28.0,31.0,28.0,660.46,4.761832662084009,Normal,0,693.4830000000001,Winter,880.5999999999999,629.01,0.0
2024-01-01,STORE_001,1029.0,GILLETTE FUSION5 CART 4S,Grocery,REGION_001,14.0,0.29,2.0,2.0,2.0,660.46,4.761832662084009,Normal,0,693.4830000000001,Winter,62.9,629.01,0.0
2024-01-01,STORE_001,1032,GILLETTE WILMAN I|,Grocery,REGION_001,40.0,13.14,92.0,101.0,92.0,91.08,4.765041721563464,Normal,0,95.634,Winter,399.28,86.74,0.0
2024-01-01,STORE_001,1032.0,GILLETTE WILMAN I|,Grocery,REGION_001,99.0,0.14,1.0,1.0,1.0,91.08,4.765041721563464,Normal,0,95.634,Winter,4.34,86.74,0.0
2024-01-01,STORE_001,1058,GILLETTE SKIN GUARD SENSITIVE RAZOR,Grocery,REGION_001,0.0,0.43,3.0,3.0,3.0,285.56,4.762571788765942,Normal,0,299.838,Winter,40.8,271.96,0.0
